unit_id,species,dbh
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,27.5
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,12.0
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,11.7
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,22.4
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,8.7
8df04415-df34-4ef1-8302-b7a08d5f5713,RA,12.3
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,12.5
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,6.8
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,20.5
8df04415-df34-4ef1-8302-b7a08d5f5713,RA,17.5
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,4.6
8df04415-df34-4ef1-8302-b7a08d5f5713,RA,13.0
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,26.2
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,3.8
8df04415-df34-4ef1-8302-b7a08d5f5713,RA,10.7
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,19.9
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,12.3
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,8.8
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,2.5
8df04415-df34-4ef1-8302-b7a08d5f5713,RA,8.3
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,3.4
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,11.1
8df04415-df34-4ef1-8302-b7a08d5f5713,RA,5.4
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,15.0
8df04415-df34-4ef1-8302-b7a08d5f5713,AF,3.5
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,1.8
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,13.8
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,7.1
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,13.4
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,11.8
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,14.5
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,21.4
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,4.6
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,21.6
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,26.8
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,1.5
8df04415-df34-4ef1-8302-b7a08d5f5713,DF,16.0
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,24.6
8df04415-df34-4ef1-8302-b7a08d5f5713,WH,14.3
8df04415-df34-4ef1-8302-b7a08d5f5713,AF,2.9
689039b5-1662-423d-ad26-28d77de1bda0,WH,8.6
689039b5-1662-423d-ad26-28d77de1bda0,RA,15.5
689039b5-1662-423d-ad26-28d77de1bda0,DF,15.7
689039b5-1662-423d-ad26-28d77de1bda0,WH,27.9
689039b5-1662-423d-ad26-28d77de1bda0,AF,7.7
689039b5-1662-423d-ad26-28d77de1bda0,DF,10.1
689039b5-1662-423d-ad26-28d77de1bda0,LP,0.5
689039b5-1662-423d-ad26-28d77de1bda0,DF,14.7
689039b5-1662-423d-ad26-28d77de1bda0,DF,17.5
689039b5-1662-423d-ad26-28d77de1bda0,DF,15.4
689039b5-1662-423d-ad26-28d77de1bda0,DF,17.6
689039b5-1662-423d-ad26-28d77de1bda0,RA,9.6
689039b5-1662-423d-ad26-28d77de1bda0,RA,8.7
689039b5-1662-423d-ad26-28d77de1bda0,DF,18.8
689039b5-1662-423d-ad26-28d77de1bda0,DF,24.8
689039b5-1662-423d-ad26-28d77de1bda0,DF,7.7
689039b5-1662-423d-ad26-28d77de1bda0,RA,5.4
689039b5-1662-423d-ad26-28d77de1bda0,AS,2.6
689039b5-1662-423d-ad26-28d77de1bda0,WH,13.6
689039b5-1662-423d-ad26-28d77de1bda0,DF,18.6
689039b5-1662-423d-ad26-28d77de1bda0,RA,17.3
689039b5-1662-423d-ad26-28d77de1bda0,WH,8.6
689039b5-1662-423d-ad26-28d77de1bda0,DF,29.0
689039b5-1662-423d-ad26-28d77de1bda0,WH,7.7
689039b5-1662-423d-ad26-28d77de1bda0,DF,6.8
689039b5-1662-423d-ad26-28d77de1bda0,WH,4.8
689039b5-1662-423d-ad26-28d77de1bda0,DF,14.3
689039b5-1662-423d-ad26-28d77de1bda0,DF,28.6
689039b5-1662-423d-ad26-28d77de1bda0,DF,32.3
689039b5-1662-423d-ad26-28d77de1bda0,WH,11.4
689039b5-1662-423d-ad26-28d77de1bda0,WH,6.0
689039b5-1662-423d-ad26-28d77de1bda0,WH,8.7
689039b5-1662-423d-ad26-28d77de1bda0,WH,14.2
689039b5-1662-423d-ad26-28d77de1bda0,WH,27.9
689039b5-1662-423d-ad26-28d77de1bda0,DF,19.7
689039b5-1662-423d-ad26-28d77de1bda0,DF,16.2
689039b5-1662-423d-ad26-28d77de1bda0,WH,11.5
689039b5-1662-423d-ad26-28d77de1bda0,DF,14.9
689039b5-1662-423d-ad26-28d77de1bda0,LP,6.8
b4716cc8-c73d-4c5d-aa06-11950f3ca771,DF,20.8
b4716cc8-c73d-4c5d-aa06-11950f3ca771,DF,12.0
b4716cc8-c73d-4c5d-aa06-11950f3ca771,DF,20.0
